1715964087.3401027	39	1124	47
1715964089.300213	39	786	84
1715964089.7242026	39	279	70
1715964089.8281205	39	445	254
1715964091.9110785	39	1133	88
1715964092.5728915	39	273	123
1715964094.8625247	39	793	139
1715964095.7007875	39	272	266
1715964097.518978	39	1154	331
1715964097.6293876	39	1121	210
1715964098.1990507	39	794	313
1715964098.7410674	39	1125	522
1715964099.1169934	39	782	237
1715964099.15896	39	788	172
1715964099.2593687	39	787	65
1715964099.3867757	39	1132	111
1715964100.4100735	39	787	508
1715964100.4978268	39	782	275
1715964101.0832238	39	784	498
1715964101.1890264	39	785	29
1715964101.4313748	39	445	157
1715964101.919977	39	1146	470
1715964102.7572947	39	1126	336
1715964103.051029	39	1123	261
1715964103.3445883	39	787	46
1715964103.5552464	39	1126	38
1715964104.5188406	39	792	388
1715964105.1062133	39	1122	352
1715964105.9910176	39	1171	458
1715964106.1809607	39	783	77
1715964106.5778875	39	795	428
1715964107.325757	39	782	176
1715964108.1068718	39	782	43
1715964108.8433368	39	791	226
1715964110.8763626	39	452	223
1715964112.3494337	39	442	317
1715964112.7289734	39	315	533
1715964112.8948324	39	1125	31
1715964113.2827146	39	784	180
1715964113.705133	39	1130	90
1715964114.7427475	39	782	305
1715964115.6284528	39	1131	495
1715964116.446268	39	1122	343
1715964117.475295	39	1129	366
1715964117.54553	39	803	302
1715964117.8522294	39	808	470
1715964119.0650527	39	810	170
1715964119.1528594	39	785	362
1715964120.502711	39	799	605
1715964120.925392	39	782	364
1715964121.050083	39	1122	195
1715964122.4352643	39	1131	493
1715964124.9450176	39	280	609
1715964125.471474	39	812	584
1715964125.7544317	39	813	357
1715964126.2122474	39	792	279
1715964126.9419894	39	782	386
1715964129.7107363	39	854	565
1715964132.7609098	39	782	406
1715964136.638879	39	807	713
1715964492.4943132	39	808	120
1715964496.8606877	39	1123	22
1715964497.5437593	39	1119	151
1715964498.3669734	39	270	214
1715964498.551684	39	1125	73
1715964501.9622293	39	784	316
1715964502.0326464	39	783	102
1715964502.0340772	39	1124	357
1715964502.2257795	39	1124	274
1715964502.4985862	39	787	227
1715964502.5113976	39	786	94
1715964502.544925	39	786	373
1715964502.923013	39	1128	364
1715964503.4199512	39	1157	367
1715964504.1261299	39	809	603
1715964506.7691128	39	792	89
1715964507.319993	39	1132	446
1715964507.4594135	39	784	312
1715964507.8585715	39	779	118
1715964508.4482508	39	793	412
1715964508.7489362	39	1124	40
1715964509.7441866	39	789	153
1715964510.2659945	39	787	194
1715964512.266145	39	444	229
1715964512.359879	39	804	261
1715964512.3752708	39	822	545
1715964513.0719543	39	784	546
1715964513.5545557	39	1132	87
1715964514.5752385	39	1124	161
1715964515.721513	39	787	678
1715964516.4231327	39	1130	352
1715964516.5234878	39	1131	73
1715964516.6574183	39	779	136
1715964517.439929	39	442	248
1715964517.6323106	39	787	14
1715964517.761024	39	274	12
1715964521.0149057	39	1122	391
1715964521.185785	39	450	230
1715964522.4960177	39	784	424
1715964522.6581159	39	824	346
1715964523.470077	39	311	503
1715964524.1341844	39	797	484
1715964526.0099266	39	443	169
1715964526.0259435	39	286	509
1715964526.1208777	39	784	339
1715964526.1348553	39	1125	326
1715964527.1340797	39	797	457
1715964527.3533967	39	784	366
1715964529.878949	39	274	215
1715964534.882691	39	784	449
1715964534.9231696	39	816	740
1715964534.9593005	39	1124	438
1715964535.1683404	39	785	270
1715964535.535364	39	786	584
1715964535.6211681	39	1156	528
1715964535.8231256	39	791	422
1715964536.0781443	39	791	490
1715964540.6359468	39	1129	506
1715964546.1019416	39	1156	391
1715964548.8217008	39	1126	451
1715964573.3689468	39	790	133
1715964574.4989512	39	802	149
1715964575.0793054	39	784	111
