task,overall
trans_kor,54.7
trans_th,29.4
Portuguese_new,48.5
trans_vie,43.9
trans_srp,50.8
trans_ru,51.2
trans_lav,29.4
trans_rom,38.5
trans_cs,39.5
French_new,54.3
Spanish_new,57.7
trans_jp,71.2
German_new,52.3
trans_hu,37.6
trans_tuk,37.6
