task,overall
German_new,75.6
Portuguese_new,77.6
trans_cs,73.9
trans_vie,87.0
Spanish_new,74.3
trans_ru,104.4
trans_kor,67.9
trans_rom,75.6
trans_lav,58.4
trans_tuk,78.3
trans_srp,76.6
French_new,74.5
trans_jp,88.0
trans_hu,70.9
trans_th,61.9
